y	y_type	x	degrees_freedom	deviance	residual_degrees_freedom	residual_deviance	p-value	coefficient	covariants	memo	FDR
gender.is.FEMALE	B	ACVR1B	1	2.50296251943678	907	1106.66466288754	0.11363236244381	0.790119808009293	Disease	NA	1
gender.is.FEMALE	B	ACVR2A	1	0.27504006490517	907	1108.89258534207	0.599970717391288	0.316651457716177	Disease	NA	1
gender.is.FEMALE	B	AJUBA	1	0.352382662350692	907	1108.81524274463	0.552767451789551	0.227423925660963	Disease	NA	1
gender.is.FEMALE	B	AKT1	1	0.073874997044868	907	1109.09375040993	0.785776148892032	0.25334436422988	Disease	NA	1
gender.is.FEMALE	B	APC	1	0.0192800277275182	907	1109.14834537925	0.889566675544924	0.0375748328431431	Disease	NA	1
gender.is.FEMALE	B	AR	1	0.94353944768477	907	1108.22408595929	0.331369245547674	-0.453594274398353	Disease	NA	1
gender.is.FEMALE	B	ARHGAP35	1	0.679686515925596	907	1108.48793889105	0.409694692123554	0.291633883452686	Disease	NA	1
gender.is.FEMALE	B	ARID1A	1	2.05860900338394	907	1107.10901640359	0.151348273563029	0.292521603022872	Disease	NA	1
gender.is.FEMALE	B	ARID5B	1	0.00613921302715426	907	1109.16148619395	0.937547155460461	-0.033991147588025	Disease	NA	1
gender.is.FEMALE	B	ASXL1	1	2.50388511055348	907	1106.66374029643	0.113565828911785	0.548178443652596	Disease	NA	1
gender.is.FEMALE	B	ATM	1	0.683694343053048	907	1108.48393106393	0.408317485803722	0.238459820409459	Disease	NA	1
gender.is.FEMALE	B	ATR	1	0.413297389569834	907	1108.75432801741	0.520300607583044	0.21625923662504	Disease	NA	1
gender.is.FEMALE	B	ATRX	1	26.9900738086385	907	1082.17755159834	2.04502960036983e-07	1.59199850052809	Disease	NA	0.00170177138194795
gender.is.FEMALE	B	AXIN2	1	3.65699663554642	907	1105.51062877143	0.0558341950485947	0.793825612709084	Disease	NA	1
gender.is.FEMALE	B	B4GALT3	1	2.61217224174084	907	1106.55545316524	0.106046411560756	-13.9525300887506	Disease	NA	1
gender.is.FEMALE	B	BAP1	1	0.450733020910548	907	1108.71689238607	0.501987059839363	-0.349748340524285	Disease	NA	1
gender.is.FEMALE	B	BRAF	1	1.00683473756203	907	1108.16079066942	0.315662333892315	0.421178764539939	Disease	NA	1
gender.is.FEMALE	B	BRCA1	1	2.10743972721411	907	1107.06018567976	0.146584384254806	-0.644485046913964	Disease	NA	1
