y	y_type	x	degrees_freedom	deviance	residual_degrees_freedom	residual_deviance	p-value	coefficient	covariants	memo	FDR
gender.is.FEMALE	B	BK	1	0.577565847582946	753	931.633210963871	0.447268015734526	-12.4762648343886	Disease	NA	1
gender.is.FEMALE	B	EBV	1	11.7641314464023	753	920.446645365052	0.000603830516380489	-1.60782374915858	Disease	NA	0.0813445967066859
gender.is.FEMALE	B	HAC	0	0	754	932.210776811454	NA	NA	Disease	NA	NA
gender.is.FEMALE	B	HBV	0	0	754	932.210776811454	NA	NA	Disease	NA	NA
gender.is.FEMALE	B	HHV5	1	0.476718269888579	753	931.734058541565	0.489912577898872	0.654631971903207	Disease	NA	1
gender.is.FEMALE	B	HPV16	1	7.68615942221879	753	924.524617389235	0.00556459187778504	-1.30532551292186	Disease	NA	0.249729101614361
gender.is.FEMALE	B	HPV18	0	0	754	932.210776811454	NA	NA	Disease	NA	NA
gender.is.FEMALE	B	HPV33	1	3.88097692093788	753	928.329799890516	0.0488361331215701	-14.6169876940997	Disease	NA	0.646383625919723
gender.is.FEMALE	B	HPV45	1	2.79254244900631	753	929.418234362448	0.0947038632307313	14.6913470291198	Disease	NA	0.765133018949799
gender.is.FEMALE	B	Other.HPV	1	1.04215008250264	753	931.168626728951	0.307321946344099	1.04983743008484	Disease	NA	1
gender.is.FEMALE	B	Any.HPV	1	5.72362152884341	753	926.487155282611	0.0167381715372111	-0.93665181930458	Disease	NA	0.464238110576178
gender.is.FEMALE	B	Any.HHV	1	8.37474113011228	753	923.836035681342	0.00380471748548254	-1.20541567494418	Disease	NA	0.21770905848283
gender.is.FEMALE	B	AnyVirus	1	13.2022935482806	753	919.008483263173	0.000279606729079107	-1.01826185818955	Disease	NA	0.0633751843171037
gender.is.FEMALE	B	BK.low	1	1.21814537957971	753	930.992631431874	0.269724929311812	-12.5359718201589	Disease	NA	1
gender.is.FEMALE	B	EBV.low	1	1.01454677405854e-05	753	932.210766665986	0.997458586314452	-0.00053901174318011	Disease	NA	1
gender.is.FEMALE	B	HAC.low	1	2.36266829188003	753	929.848108519574	0.12426946955213	-0.59331536952975	Disease	NA	0.813792429080963
gender.is.FEMALE	B	HBV.low	1	9.36043920814734	753	922.850337603307	0.00221719010091447	-15.2093933048466	Disease	NA	0.199124787158331
gender.is.FEMALE	B	HHV5.low	1	4.11501027244901	753	928.095766539005	0.0425042670514617	-0.863781490095929	Disease	NA	0.641304381272454
gender.is.FEMALE	B	HPV16.low	1	0.376038321463852	753	931.83473848999	0.539731123102681	-0.207951436043078	Disease	NA	1
gender.is.FEMALE	B	HPV18.low	1	0.343402399445495	753	931.867374412008	0.557871845530869	0.307083235428618	Disease	NA	1
gender.is.FEMALE	B	HPV33.low	1	0.739734166004268	753	931.47104264545	0.389746047524722	0.431966852017484	Disease	NA	1
gender.is.FEMALE	B	HPV45.low	0	0	754	932.210776811454	NA	NA	Disease	NA	NA
gender.is.FEMALE	B	Other.HPV.low	1	0.801678353127841	753	931.409098458326	0.370592042817797	-0.410645748114062	Disease	NA	1
gender.is.FEMALE	B	Any.HPV.low	1	0.0194911692346977	753	932.191285642219	0.888967524696962	0.0383679708000077	Disease	NA	1
gender.is.FEMALE	B	Any.HHV.low	1	0.17157720229261	753	932.039199609161	0.678713885318697	-0.0692906402072652	Disease	NA	1
gender.is.FEMALE	B	AnyVirus.low	1	0.515604465127581	753	931.695172346326	0.472722738806469	0.114161285277367	Disease	NA	1
gender.is.MALE	B	BK	1	0.57756584758306	753	931.633210963871	0.447268015734481	12.4762648343964	Disease	NA	1
gender.is.MALE	B	EBV	1	11.7641314464024	753	920.446645365051	0.000603830516380451	1.60782374915859	Disease	NA	0.0813445967066859
gender.is.MALE	B	HAC	0	0	754	932.210776811454	NA	NA	Disease	NA	NA
gender.is.MALE	B	HBV	0	0	754	932.210776811454	NA	NA	Disease	NA	NA
gender.is.MALE	B	HHV5	1	0.476718269888693	753	931.734058541565	0.489912577898821	-0.654631971903182	Disease	NA	1
gender.is.MALE	B	HPV16	1	7.68615942221891	753	924.524617389235	0.00556459187778468	1.30532551292185	Disease	NA	0.249729101614361
gender.is.MALE	B	HPV18	0	0	754	932.210776811454	NA	NA	Disease	NA	NA
gender.is.MALE	B	HPV33	1	3.88097692093777	753	928.329799890516	0.0488361331215733	14.6169876939553	Disease	NA	0.646383625919723
gender.is.MALE	B	HPV45	1	2.79254244900631	753	929.418234362448	0.0947038632307313	-14.6913470291249	Disease	NA	0.765133018949799
gender.is.MALE	B	Other.HPV	1	1.04215008250276	753	931.168626728951	0.307321946344073	-1.04983743008484	Disease	NA	1
gender.is.MALE	B	Any.HPV	1	5.72362152884341	753	926.487155282611	0.0167381715372111	0.936651819304575	Disease	NA	0.464238110576178
gender.is.MALE	B	Any.HHV	1	8.37474113011217	753	923.836035681342	0.00380471748548278	1.20541567494418	Disease	NA	0.21770905848283
gender.is.MALE	B	AnyVirus	1	13.2022935482806	753	919.008483263173	0.000279606729079107	1.01826185818955	Disease	NA	0.0633751843171037
gender.is.MALE	B	BK.low	1	1.21814537957971	753	930.992631431874	0.269724929311812	12.5359718201643	Disease	NA	1
gender.is.MALE	B	EBV.low	1	1.01454677405854e-05	753	932.210766665986	0.997458586314452	0.00053901174318041	Disease	NA	1
gender.is.MALE	B	HAC.low	1	2.36266829188003	753	929.848108519574	0.12426946955213	0.593315369529749	Disease	NA	0.813792429080963
gender.is.MALE	B	HBV.low	1	9.36043920814723	753	922.850337603307	0.00221719010091461	15.20939330481	Disease	NA	0.199124787158331
gender.is.MALE	B	HHV5.low	1	4.11501027244901	753	928.095766539005	0.0425042670514617	0.863781490095928	Disease	NA	0.641304381272454
gender.is.MALE	B	HPV16.low	1	0.376038321463852	753	931.83473848999	0.539731123102681	0.207951436043077	Disease	NA	1
gender.is.MALE	B	HPV18.low	1	0.343402399445495	753	931.867374412008	0.557871845530869	-0.307083235428616	Disease	NA	1
gender.is.MALE	B	HPV33.low	1	0.739734166004268	753	931.47104264545	0.389746047524722	-0.431966852017485	Disease	NA	1
gender.is.MALE	B	HPV45.low	0	0	754	932.210776811454	NA	NA	Disease	NA	NA
gender.is.MALE	B	Other.HPV.low	1	0.801678353127841	753	931.409098458326	0.370592042817797	0.410645748114062	Disease	NA	1
gender.is.MALE	B	Any.HPV.low	1	0.0194911692346977	753	932.191285642219	0.888967524696962	-0.0383679708000071	Disease	NA	1
gender.is.MALE	B	Any.HHV.low	1	0.171577202292724	753	932.039199609161	0.678713885318597	0.0692906402072638	Disease	NA	1
gender.is.MALE	B	AnyVirus.low	1	0.515604465127581	753	931.695172346326	0.472722738806469	-0.114161285277369	Disease	NA	1
race.is.AMERICAN.INDIAN.OR.ALASKA.NATIVE	B	BK	1	4.61852778244065e-14	689	13.4042279518843	0.999999828528542	-1.82598969357928e-11	Disease	NA	1
race.is.AMERICAN.INDIAN.OR.ALASKA.NATIVE	B	EBV	1	0.00668896984993061	689	13.3975389820344	0.934816791662522	-14.1185532467488	Disease	NA	1
race.is.AMERICAN.INDIAN.OR.ALASKA.NATIVE	B	HAC	0	0	690	13.4042279518843	NA	NA	Disease	NA	NA
race.is.AMERICAN.INDIAN.OR.ALASKA.NATIVE	B	HBV	0	0	690	13.4042279518843	NA	NA	Disease	NA	NA
race.is.AMERICAN.INDIAN.OR.ALASKA.NATIVE	B	HHV5	1	0.013400396833088	689	13.3908275550513	0.907842686860707	-16.7233886063954	Disease	NA	1
race.is.AMERICAN.INDIAN.OR.ALASKA.NATIVE	B	HPV16	1	0.271360553102856	689	13.1328673987815	0.60242055868758	-17.9674183721113	Disease	NA	1
race.is.AMERICAN.INDIAN.OR.ALASKA.NATIVE	B	HPV18	0	0	690	13.4042279518843	NA	NA	Disease	NA	NA
race.is.AMERICAN.INDIAN.OR.ALASKA.NATIVE	B	HPV33	1	0.0404735942477181	689	13.3637543576366	0.840557437219938	-17.8858959144986	Disease	NA	1
race.is.AMERICAN.INDIAN.OR.ALASKA.NATIVE	B	HPV45	1	8.88178419700125e-15	689	13.4042279518843	0.999999924804791	-1.10666042038461e-11	Disease	NA	1
race.is.AMERICAN.INDIAN.OR.ALASKA.NATIVE	B	Other.HPV	1	0.0134003970409164	689	13.3908275548434	0.907842686149253	-16.9931523397577	Disease	NA	1
race.is.AMERICAN.INDIAN.OR.ALASKA.NATIVE	B	Any.HPV	1	0.333501550671473	689	13.0707264012129	0.563604486368531	-17.9234336892799	Disease	NA	1
race.is.AMERICAN.INDIAN.OR.ALASKA.NATIVE	B	Any.HHV	1	0.0201344105282359	689	13.3840935413561	0.887162332821536	-15.0983577808652	Disease	NA	1
race.is.AMERICAN.INDIAN.OR.ALASKA.NATIVE	B	AnyVirus	1	0.373343551790253	689	13.0308844000941	0.541187363015619	-17.3978394943135	Disease	NA	1
