y	y_type	x	degrees_freedom	deviance	residual_degrees_freedom	residual_deviance	p-value	coefficient	covariants	memo	FDR
gender.is.FEMALE	B	BK.int	1	2.23143516578801	67	62.9737298532903	0.135228188084736	-16.6646805374581	Disease	NA	1
gender.is.FEMALE	B	EBV.int	1	1.05013808919588	67	64.1550269298825	0.305475285827108	-15.4133889125276	Disease	NA	1
gender.is.FEMALE	B	HAC.int	0	0	68	65.2051650190784	NA	NA	Disease	NA	NA
gender.is.FEMALE	B	HBV.int	0	0	68	65.2051650190784	NA	NA	Disease	NA	NA
gender.is.FEMALE	B	HHV1.int	0	0	68	65.2051650190784	NA	NA	Disease	NA	NA
gender.is.FEMALE	B	HHV5.int	0	0	68	65.2051650190784	NA	NA	Disease	NA	NA
gender.is.FEMALE	B	HPV16.int	1	0.556175987794958	67	64.6489890312834	0.455805111600715	0.676188983772049	Disease	NA	1
gender.is.FEMALE	B	HPV18.int	0	0	68	65.2051650190784	NA	NA	Disease	NA	NA
gender.is.FEMALE	B	HPV31.int	0	0	68	65.2051650190784	NA	NA	Disease	NA	NA
gender.is.FEMALE	B	HPV33.int	1	0.859135692424829	67	64.3460293266535	0.35398067496181	-15.7415191943043	Disease	NA	1
gender.is.FEMALE	B	HPV35.int	1	0.278243294441751	67	64.9269217246366	0.597854942085577	-13.6789985997565	Disease	NA	1
gender.is.FEMALE	B	HPV39.int	0	0	68	65.2051650190784	NA	NA	Disease	NA	NA
gender.is.FEMALE	B	HPV45.int	1	1.18493887825892	67	64.0202261408194	0.2763528268352	15.5660682487546	Disease	NA	1
gender.is.FEMALE	B	HPV56.int	1	1.1849388782589	67	64.0202261408194	0.276352826835203	15.5660682487581	Disease	NA	1
gender.is.FEMALE	B	HPV58.int	0	0	68	65.2051650190784	NA	NA	Disease	NA	NA
gender.is.FEMALE	B	HPV6.int	0	0	68	65.2051650190784	NA	NA	Disease	NA	NA
gender.is.FEMALE	B	HPV6b.int	0	0	68	65.2051650190784	NA	NA	Disease	NA	NA
gender.is.FEMALE	B	HPVx.int	0	0	68	65.2051650190784	NA	NA	Disease	NA	NA
gender.is.FEMALE	B	Merkel.int	0	0	68	65.2051650190784	NA	NA	Disease	NA	NA
